StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,UserLanguage,consent,mf_victim,mf_perpetrator,mf_relationship,mf_incident,mf_meta,fm_victim,fm_perpetrator,fm_relationship,fm_incident,fm_meta,mm_victim,mm_perpetrator,mm_relationship,mm_incident,mm_meta,ff_victim,ff_perpetrator,ff_relationship,ff_incident,ff_meta,gender,age,ethnicity,ethnicity_6_TEXT,sexual_orientation
07.02.2024 16:47,07.02.2024 16:57,100,588,TRUE,07.02.2024 16:57,EN,I have read and understood the above statement. I choose to participate voluntarily.,"Female
Submissive
Isolated
Financially dependant
Defends perpetrator","Controlling
Male
Breadwinner","Unequal
Married
Children","Physical assault
Mental isolation
Degradation",Slightly difficult,"Weak
Must enjoy it
Sexually submissive
Blonde","Dominatrix
Fishwife
Dark hair
Leather","Unmarried
No children","Slapping
Verbal emotional abuse",Slightly difficult,"Camp
Weak
Irritating","Bear
Camp
Ineffective","Casual sexual contact
Non monogamous ","Slapping
Catty
Bitchy ",Slightly difficult,"Shrill
Bitchy
Fishwife","Butch
Controlling
Possessive","Fiery
On and off
","Stabbing
Throwing objects
Scratching
Screaming",Slightly difficult,Female,40,White,,Heterosexual or Straight
07.02.2024 16:54,07.02.2024 16:57,100,178,TRUE,07.02.2024 16:57,EN,I have read and understood the above statement. I choose to participate voluntarily.,"Pretty
Naive
Alone","Disturbed
Mental
Sick",Strangers ,"Rape
Beating ",Not at all difficult,Weak,I don’t know,Spouses,Fights,Moderately difficult,"Small
Young
","Sick
Mental",Strangers,Rape,Slightly difficult,"Naive
Inviting
Tortured","Sick
Mental","Strangers
Spouses","Beating
Rape",Not at all difficult,Female,47,White,,Heterosexual or Straight
07.02.2024 16:52,07.02.2024 16:57,100,265,TRUE,07.02.2024 16:57,EN,I have read and understood the above statement. I choose to participate voluntarily.,"Scared
Nervous
Weak","Angry
Alcoholic
Violent
Scary","Bad
Unpleasant","Many
Blood
",Difficult,"Weak
Doesn’t fight back","Angry
Abusive","Bad
",Verbal,Very difficult,"Weak
Scared","Angry
Violent","Bad
","Blood
Verbal",Very difficult,Scared,Violent,Bad,Bloody,Very difficult,Female,27,White,,Heterosexual or Straight
07.02.2024 16:52,07.02.2024 16:57,100,292,TRUE,07.02.2024 16:57,EN,I have read and understood the above statement. I choose to participate voluntarily.,"quiet
shy
weak","bossy
strong
evil","boyfriend
boss
collegue","verbal
physical",Not at all difficult,"weak
shy
quiet
lonely","mean
evil
bossy
vindictive","boss
lover
friend
collegue","physical
verbal",Not at all difficult,"weak
shy
quiet
solitary","evil
strong
mean","boyfriend
boss
collegue","verbal
physical",,"shy
quiet
weak","mean
evil
bossy
","lover
friend
boss","verbal
physical",Not at all difficult,Female,51,White,,Heterosexual or Straight
07.02.2024 16:53,07.02.2024 16:57,100,267,TRUE,07.02.2024 16:57,EN,I have read and understood the above statement. I choose to participate voluntarily.,"Ordinary
",Alpha male,One sided,When drunk or angry,Not at all difficult,"Weak
Downtrodden","Dominant
Aggressive",One sided,In private,Moderately difficult,Normal,Normal,Standard,When angry or upset,Moderately difficult,"Petite
Meek","Larger
Dominant and outgoing",One sided,In private,Moderately difficult,Male,35,White,,Heterosexual or Straight
07.02.2024 16:49,07.02.2024 16:57,100,484,TRUE,07.02.2024 16:57,EN,I have read and understood the above statement. I choose to participate voluntarily.,"Weak
Vulnerable
Isolated","Strong
Masculine
Powerful
Controlling
Coercive ","Controlling
Difficult","Physical assault
Verbal abuse",Moderately difficult,"Vulnerable
Weak
Small
Unmasculine","Strong
Controlling
Obsessive
Power",Onsided,"Verbal abuse
Emotional abuse
Assault
",Difficult,"Isolated
Vulnerability
Weak","Controlling
Strong
Unwillingness to listen
Power",Challenging,Physical,Difficult,"Weak
Lonely
Lacks confidence
Isolated
Small","Masculine
Strong
Sociable
Powerful
Manipulative",Controlling,"Physical
Verbal",Moderately difficult,Female,29,White,,Heterosexual or Straight
07.02.2024 16:51,07.02.2024 16:57,100,386,TRUE,07.02.2024 16:57,EN,I have read and understood the above statement. I choose to participate voluntarily.,"Weak
Small
Submissive
Emotional
","Strong 
Powerful 
Dominant 
Manipulative","Emotional 
Rocky
","Physical 
Emotional ",Not at all difficult,"Weak
Emotional 
Small
Powerless ","Strong 
Powerful 
Dominant 
Manipulative ",Emotional ,"Physical 
Emotional ",Not at all difficult,"Weak
Small
Emotional 
Submissive","Strong 
Dominant
Powerful","Abusive
Emotional
","Physical 
Emotional ",Not at all difficult,"Weak
Emotional 
Small
Submissive","Strong
Powerful
Controlling
Manipulative",Emotional ,"Physical 
Emotional ",Not at all difficult,Female,33,White,,Heterosexual or Straight
07.02.2024 16:49,07.02.2024 16:57,100,518,TRUE,07.02.2024 16:57,EN,I have read and understood the above statement. I choose to participate voluntarily.,"younger
underage
naïve
vulnerable","older
loner
more money","isolated from friends and family
dependant","stalking
grooming
physical violence
sexual assault
blackamail",Not at all difficult,"lonely
dependant
kind","manipulative
loud
sneaky","a very manipulative relationship
a relationship with gaslighting and guilt tripping
fear","isolating their partner
physical violence
guilt tripping",Difficult,"young
vulnerable
scared
embarrassed","older
wants to keep sexual identity a secret
manipulative
bigger build and threatening","unbalanced
secret","physical
threats
psychological
threatening to expose secrets",Slightly difficult,"smaller
shy
kind
emotionally vulnerable","loud
manipulative
larger / stronger","unbalanced
dependant","emotional coercion
physical violence",Very difficult,Female,21,White,,Heterosexual or Straight
07.02.2024 16:50,07.02.2024 16:58,100,462,TRUE,07.02.2024 16:58,EN,I have read and understood the above statement. I choose to participate voluntarily.,I don’t believe there are stereotypes ,I don’t believe there are stereotypes ,I wouldn’t be able to assume,Could be any,Not at all difficult,I don’t believe there are stereotypes ,I don’t believe there are stereotypes ,I couldn’t know so don’t want to assume,Could be any,Not at all difficult,I don’t believe there are stereotypes ,I don’t believe there are stereotypes ,I wouldn’t want to speculate,Could be any,Not at all difficult,I don’t believe there are stereotypes ,I don’t believe there are stereotypes ,I don’t think I could assume anything about their relationship ,"I couldn’t assume but obviously could be anything including sexual, physical or coercive control",Not at all difficult,Female,43,White,,Bisexual
07.02.2024 16:49,07.02.2024 16:58,100,557,TRUE,07.02.2024 16:58,EN,I have read and understood the above statement. I choose to participate voluntarily.,"mother, hard worker, slight frame, keeps head down, doesn't dress flamboyantly","working class, angry, larger than victim, drinker","been together medium amount of time, live together, man uses financial and physicolgical control to restrict woman's movements, bashes her self esteem","hitting, scratching, pushing",Slightly difficult,"weak man, low self esteem, feminine, quiet","louder individual, dominant personality, unpredictable energy, gregarious, drinker","woman controls man through physical force - scratching, hitting, slapping. Smaller incidents that she thinks she can get away with","scratching, hitting, kicking, slapping",Moderately difficult,"timid, slight in frame, feminine, high voice","larger, thicker set, more masculine, less secure with sexuality","considered a vibe mismatch by friends, been together a long time, perpetrator keeps victim from going out","hitting, putting them down, pushing around, controlling their whereabouts",Slightly difficult,"feminine, domestic, traditional, enjoys pastels and flowers","more masculine, masculine job, has brothers, drives for a living","been together a long time, invoices a lot of self esteem bashing","grabbing, bruising, slaps that get passed off as accidents or as the fault of the victim",Moderately difficult,Non-binary / Other,39,White,,Bisexual
07.02.2024 16:47,07.02.2024 16:58,100,664,TRUE,07.02.2024 16:58,EN,I have read and understood the above statement. I choose to participate voluntarily.,"scared 
small 
wide-eyed 
shaking 
weak
abused","aggressive 
violent 
pushy 
controlling 
harming 
strong","uncomfortable 
aggressive
crying
unstable
scary","extreme
terrifying 
panic
guilt
shame",Moderately difficult,"guilty
unable to fight back
scared
sad
not wanting to ask for help","aggressive
manipulative
scary
abusive
shouting
accusing","sad
violent
blaming
guilt
trapped
misery","hurting
throwing items
smashing things
quick to happen
harsh
one-sided",Slightly difficult,"scared
weak
guilty
unsure
hurt
abused
","strong
scary
frightening
horrible","controlling
sad
tears
out of balance
mismatch","physical
hurt
scary
quick to come about
hurtful
bruises",Moderately difficult,"scared
confused
looking for an escape
feeling guilty 
questioning why it's happening","strong willed
aggressive
shouty
harsh
scary","disjointed
unfair
angry
sad
crying","physical
scary
nasty
bitchy",Slightly difficult,Male,44,White,,Heterosexual or Straight
07.02.2024 16:51,07.02.2024 16:59,100,457,TRUE,07.02.2024 16:59,EN,I have read and understood the above statement. I choose to participate voluntarily.,"Physically weak
Timid
Quiet","Loud
Angry
Aggressive
Controlling","Volatile
","Shouting
Physical violence
controlling behaviour
Threats",Not at all difficult,"Quiet
Timid
","Lod
Agressive
Dominant
","Volatile
Controlling","Physical violence
Emotional manipulation
",Not at all difficult,"Timid
Weak
Submissive","Angry
Bullying
Physical domination",Volatile,"Physcal violence
Emotianal violence",Moderately difficult,"timid
weak
submissive","physically stronger
manipulative","volatile
fiery","physical violence
emotional violence
manipulation",Moderately difficult,Male,43,White,,Heterosexual or Straight
07.02.2024 16:51,07.02.2024 16:59,100,435,TRUE,07.02.2024 16:59,EN,I have read and understood the above statement. I choose to participate voluntarily.,"Mum caring for children, scared and stays home most of the time ","Alpha male, strong and confident, controlling and has anger issues","Man is in charge, he controls money social life etc",Physical abuse after man comes home drinking ,Not at all difficult,"Possibly I'll man, doesn't have high self esteem ",Confident and dominating women who works full time,She is only income earner and doesn't like that he doesn't work,"Controlling and coercive behaviour, emotional abuse",Difficult,"Younger man, maybe in his first relationship ","Old man, alpha male","One sided, victim in the relationship to affirm his sexuality","Sexual violence, older man using his victim for sexual gratification ",Slightly difficult,"Small, weak, timid, typically feminine appearance ","Overweight, typically masculine/butch appearance, controlling ","One sided, live together, few friends",Controlling and emotionally abusive ,Moderately difficult,Female,24,White,,Gay or Lesbian
07.02.2024 16:49,07.02.2024 16:59,100,605,TRUE,07.02.2024 16:59,EN,I have read and understood the above statement. I choose to participate voluntarily.,"no friends, lack of family support, quiet and not assertive","entitled, the main breadwinner, demanding","a typical straight couple, traditional, conservative views","physical violence, demanding sex",Slightly difficult,"passive, shy","controlling, carries childhood trauma","different social status, perhaps the parents didn't approve of the relationship in  the first place",abusing power,Very difficult,"passive, too afraid to speak to someone else about the problem, worried","controlling, obsessive, demanding",harmonious at first ,power abuse,Difficult,"worried nobody will believe them, passive",bully,traditional same sex relationship,abusive language,Very difficult,Female,41,White,,Heterosexual or Straight
07.02.2024 16:52,07.02.2024 16:59,100,433,TRUE,07.02.2024 16:59,EN,I have read and understood the above statement. I choose to participate voluntarily.,Totally blameless and male completely to blame,evil and nasty and always ready to hurt,dominant and submissive and controlling,male only ever hits female,Slightly difficult,That they are totally blameless and always the victom,that the male must've done something to make it happen and soft for letting it happen,they take the submissive role,That women aren't as strong as men and therefore cannot really harm them,Slightly difficult,The common perception is that either it doesn't happen or when it does it is the male partners fault for being soft,That they are always the perpetrator and always fully to blame,The male is seen as dominant and controlling,The perception is that the men are violent towards their partners,Moderately difficult,the common perception is that this violence doesn't exist,Must be angry etc.,Dominant and submissive,generally not serious,Slightly difficult,Male,41,White,,Heterosexual or Straight
07.02.2024 16:48,07.02.2024 16:59,100,654,TRUE,07.02.2024 16:59,EN,I have read and understood the above statement. I choose to participate voluntarily.,"Submissive, lonely, too scared to tell friends or family, dependent and traumatized.","Abusive, manipulative, violent and a liar. Probably drinks too much and is sexist","The perpetrator probably abuses the victim not only in a Physical way, but also in a psychological way too, making sure she creates a dependance on him and has no escape.","Daily use of verbal abuse, probably the perpetrator has used some kind of violence against her too, hitting her and making she hide the bruises.",Slightly difficult,"The victim doesnt notice most of the violence against her, and is submissive","The perpetrator doesnt even notice the abuse she does in their daily lives, but sure feels she is in control.","The abuses are slight and the relationship is under control, but its hard to tell how they behave in their private moments.","There is no physical violence, only psychological abuse",Very difficult,Control obsessed and egoistic man,Submissive and quiet,"The perpetrator is stronger and more emotional, while the submissive is quiet and dependent","The perpetrator is strongly attached to the victim, but tries to control him and hides his dependance, while the victim accepts ",Very difficult,"Lonely guy that cant open up with his friends or family, and has a tendency to justify any women actions.","Abusive women that probably was spoiled by her parents during her creation, thinks that just because she is a woman she can do anything to her man.","She controls most of his choices and daily life, while hiding that from the public, while he accepts the control and is too scared to end the relationship.","Probably physical abuse, but mostly psychological abuse, because I think most men are stronger than their female partner, and are violently abused because their submission and dependance.",Difficult,Male,22,Asian,,Heterosexual or Straight
07.02.2024 16:55,07.02.2024 16:59,100,273,TRUE,07.02.2024 16:59,EN,I have read and understood the above statement. I choose to participate voluntarily.,"Scared, alone",Bully,Strained,"Punch, kick",Not at all difficult,"Afraid, scared",Bully,Awkward,"Punch, kick",Not at all difficult,"Scared, afraid, shocked.","Power hungry, crazy, insecurity","Strained, power, awkward","Punch, kick, mental",Moderately difficult,"Scared, afraid, worried","Nasty, cruel, bully","Awkward, strained, unloving","Pinch, kick, slap",Slightly difficult,Male,48,White,,Heterosexual or Straight
07.02.2024 16:48,07.02.2024 17:00,100,709,TRUE,07.02.2024 17:00,EN,I have read and understood the above statement. I choose to participate voluntarily.,"Anxious
Trapped
Lost","Forceful
Manipulative
Deceitful
","Violet 
Abusive 
Worrisome ","Rape
Choked 
Punched 
Bitten",Not at all difficult,"Anxious
Embarrassed
Hopeful for future ","Excited
Powerful
Optimistic","Strained
Imbalanced
Anxious ","Threats
Yelling
Screaming ",Very difficult,"Forced
Anxious
Hopeful it will change","Power
Exciting
Keep up appearances ","Up and down
Good
Bad","Punched
Threatened
Choked ",Moderately difficult,"Anxious
Hopeful for future 
Optimistic of change ","Excited
Keen
","Controlled
Demanding 
Powerful ","Threats
Verbal abuse
Mental abuse ",Moderately difficult,Female,34,White,,Heterosexual or Straight
07.02.2024 16:53,07.02.2024 17:00,100,395,TRUE,07.02.2024 17:00,EN,I have read and understood the above statement. I choose to participate voluntarily.,"victim
scared
slag
drunk
deserving","dominant
violent","stranger
hubband","rape
sexual assault",Moderately difficult,,,,,Very difficult,"victim
gay
homosexual","straight
in the closet",stranger,"rape
assault",Slightly difficult,"scared
drunk
wearing inappropoate clothing","abusive
strong
violent","abusive
single
dominant","rape
sexual assault",Slightly difficult,Female,33,White,,Gay or Lesbian
07.02.2024 16:54,07.02.2024 17:00,100,329,TRUE,07.02.2024 17:00,EN,I have read and understood the above statement. I choose to participate voluntarily.,"Vulnerable, scared, weak, submissive","Strong, aggressive, angry, demanding","Unbalanced, giving, sacrifice, manipulative","Aggressive, violent, ",Moderately difficult,"Weak
Submissive
Gentle
","Manipulative
Controlling
Angry
","Unfair 
Strained","Manipulative 
Controlled
Violent",Moderately difficult,"Weak, submissive, ","Aggressive, violent",Jealous,"Aggressive, abusive",Slightly difficult,"Scared, vulnerable, weak, damaged","Intimidating, controlling, aggressive","Manipulative, one sided ","Psychological, manipulative, ",Difficult,Female,28,White,,Heterosexual or Straight
07.02.2024 16:51,07.02.2024 17:00,100,518,TRUE,07.02.2024 17:00,EN,I have read and understood the above statement. I choose to participate voluntarily.,"Wearing inappropriate clothes
Drunk
Should have said no
","strong 
drunk
doesn't understand consent ","strangers/first date
husband and wife","date rape 
within marriage 
",Difficult,"Weak
Could have said no/lying
afraid to come forward
","Innocent
strong","Boyfriend and girlfriend
",domestic abuse,Very difficult,"child 
weak 
","abused their power
older
","Older relative
male teacher","abuse of power
",Very difficult,"should have said no
drunk ","strong 
violent ","relatives
girlfriends 
first date","abuse of power
domestic violence",Very difficult,Female,22,White,,Heterosexual or Straight
07.02.2024 16:53,07.02.2024 17:00,100,441,TRUE,07.02.2024 17:00,EN,I have read and understood the above statement. I choose to participate voluntarily.,"Shy, timid, unsure of self","Aggressive, controlling ",Male likes to be in control ,Hitting when female talks to friends,Slightly difficult,"Shy, timid, unsure of self","Controlling, aggressive ",She calls the shots,She emotionally manipulates him and hits him when he doesn't do stuff,Moderately difficult,"Female, timid, shy, unsure","Make, aggressive, controlling ",He calls the shots,He gets aggressive when she goes out with friends ,Slightly difficult,"Shy, timid, unsure of self","Aggressive, controlling ",The perpetrator gets aggressive when the victim talks to other friends ,Hitting,Moderately difficult,Female,36,White,,Heterosexual or Straight
07.02.2024 16:50,07.02.2024 17:00,100,587,TRUE,07.02.2024 17:00,EN,I have read and understood the above statement. I choose to participate voluntarily.,"subservient
cannot see beyond love of the individual
accepting","aggressive
dominant
dislikeable
","married or partners
","physical abuse
controlling behaviours",Slightly difficult,"weak
subservient
","dominant
controlling
",based on fear,emotional abuse,Difficult,"subservient
weak
accepting","dominating
selfish
",based on fear,"sexual abuse without consent

",Difficult,"submissive
",dominant,"romantic
based on fear","emotional abuse
",Difficult,Male,54,White,,Heterosexual or Straight
07.02.2024 16:54,07.02.2024 17:00,100,415,TRUE,07.02.2024 17:00,EN,I have read and understood the above statement. I choose to participate voluntarily.,"Vulnerable
Dependent","Insecure
Bully","Husband/wife
Cohabiting","Beating,Verbal abuse,",Moderately difficult,"Vulnerable,embarassed","Bully,Insecure","Husband/wife
Cohabiting","Beating,Verbal abuse",Moderately difficult,"Vulnerable,dependent","Bully,insecure","Husband/wife,Cohabiting",Physical and verbal,Moderately difficult,"Vulnerable,dependent",Bully and insecure,"Husband/wife, Cohabiting",Physical and verbal abuse,Moderately difficult,Female,56,Other,,Heterosexual or Straight
07.02.2024 16:48,07.02.2024 17:01,100,748,TRUE,07.02.2024 17:01,EN,I have read and understood the above statement. I choose to participate voluntarily.,Not confident and reclusive. Small/slight build.,Angry and violent. Very short temper and quickly gets upset. ,Married.,"Verbal abuse, throwing objects and physical abuse. Financial abuse.",Slightly difficult,Quiet and not confident. Slim/small build.,Loud and short tempered. Out spoken and angry.,Living together.,Lots of verbal and emotional  abuse and some physical like hitting and pushing/throwing objects.,Moderately difficult,Shy and not confident. Smaller/weaker than other partner. ,"Short temper, controlling and bigger/ stronger than the victim.",Living together but not married.,Hitting and pushing.,Moderately difficult,Shy and reclusive. Depressed and not confident.,Short temper and loud. Stronger than victim and more dominant.,Living together.,Lots of manipulation and verbal abuse. Occasional physical abuse e.g. pushing,Moderately difficult,Female,36,White,,Heterosexual or Straight
07.02.2024 16:50,07.02.2024 17:01,100,672,TRUE,07.02.2024 17:01,EN,I have read and understood the above statement. I choose to participate voluntarily.,Someone who is weaker than the perpetrator. ,Someone strong and always wants to show their strength.,Husband and wife. Intimate partners or even people had have not know each other a long time.,Forced sex against the victim's will. ,Not at all difficult,Someone who is constantly bullied or shouted at. It can also be physical violence. ,Someone with no control over their temper and easily lashes out or hits their partner. ,Husband and wife or just partners living together.,Constant shouting and arguing. Hitting the partner with objects or throwing things at them.,Slightly difficult,Someone who is either mentally or physically abused. ,"A person who physically assaults or abuses another person. Many times it can be mental abuse, making the partner feel worthless.",Husband and wife or partners. ,Hitting their partner. Attacking their partner. Sexually abusing their partner.,Not at all difficult,A shy person who believe the perperator doesn't mean it. ,Someone who likes to be the bully and take charge.,Husband and wife or partners in relationships.,"Physical violence. Mental abuse, by making the pther person feel useless.",Not at all difficult,Female,36,Asian,,Heterosexual or Straight
07.02.2024 16:42,07.02.2024 17:01,100,1133,TRUE,07.02.2024 17:01,EN,I have read and understood the above statement. I choose to participate voluntarily.,female,male,partner,intimate,Difficult,male,female,partner,intimate,Difficult,male,male,partner,specific,Difficult,female,female,intimate partner,specific,Moderately difficult,Female,38,White,,Bisexual
07.02.2024 16:49,07.02.2024 17:02,100,765,TRUE,07.02.2024 17:02,EN,I have read and understood the above statement. I choose to participate voluntarily.,"afraid
doesn't know how to get out
tends to justify the perpetrator's behavior
afraid to say what's happening to family and friends

","toxic masculinity
threatens 
highly manipulative
alternates aggressive episodes to being very nice and sweet","the male perpetrator his violent and dangerous to the female victim but when she seems close to being able to leave him, he becomes nice and apologizes so that she forgives him because she thinks she loves him.
keeps getting worse and harder for the female to leave him","physical and verbal aggression, rape, threats, isolated the victim from the world ",Not at all difficult,"weak deeply in love male
slowly became submissive
blinded by love","mean, toxic, manipulative
uses victim for own advantage","she started from micro managing him until she fully controls him and changed him so that he his now what she wanted. controls the way he dresses, eats, what he does, his relationship with friends and family","physical and verbal aggression
isolation",Moderately difficult,"scared
afraid to tell what's happening
stuck in toxic relationship but cannot get out","violent
control maniac
liar
manipulative","toxic
dominant-submissive
nice in front of other but bad in private","rape
aggression physical and verbal",Slightly difficult,"afraid
easily manipulated
lonely
it's willing to put up so doesn't end up alone","result of previous trauma
manipulative
threatens","toxic
possibility to get out without as much fear
fear of abandonment
blackmail","verbal aggression
posible physical aggression
isolate victim from the world",Difficult,Female,25,White,,Heterosexual or Straight
07.02.2024 16:51,07.02.2024 17:02,100,631,TRUE,07.02.2024 17:02,EN,I have read and understood the above statement. I choose to participate voluntarily.,"Quiet, 
reserved, 
timid, 
easily controlled. 
People pleasing","Easily angered or stressed, 
bad temper, 
controlling, 
manipulative, 
alcoholic",Controlling,"Beating, held down, rape, ",Slightly difficult,"Timid
Reserved
Kind","Stressed
Easily angered
Aggressive
Manipulative
Angry",Controlling,"Beating
Punching ",Difficult,"Quiet
People pleasing
Kind","Aggressive
Angry
Easily angry
Manipulative","Abusive
Controlling
Violent","Beating 
Shouting
Aggression 
Punching
",Moderately difficult,"Quiet
Reserved
Kind
People pleasing","Manipulative
Controlling 
","Controlling
Manipulative ","Beating
Held down",Moderately difficult,Female,34,White,,Heterosexual or Straight
07.02.2024 16:54,07.02.2024 17:02,100,444,TRUE,07.02.2024 17:02,EN,I have read and understood the above statement. I choose to participate voluntarily.,"Insecure
Timid
Naive 
","Aggressive 
Dominating 
Loud
Controlling ","Tumultuous 
Hot and cold 
Volatile","Shouting 
Physical assault 
Control",Slightly difficult,"Small
Insecure
","Large
Aggressive 
Angry ","Controlling 
Cold","Emotional abuse
Verbal abuse
Controlling behaviour ",Slightly difficult,"Small
Insecure
","Dominating 
Built
","Aggressive
","Emotional abuse
Physical abuse
Verbal abuse",Slightly difficult,"Timid
Small
Shy","Butch
Loud
Arrogant ","Hot and cold 
Controlling ","Emotional abuse 
Verbal abuse",Slightly difficult,Female,38,White,,Heterosexual or Straight
07.02.2024 16:57,07.02.2024 17:02,100,300,TRUE,07.02.2024 17:02,EN,I have read and understood the above statement. I choose to participate voluntarily.,white female blonde ,black fat guy,angry on and off again,crazy battery black eyes etc,Not at all difficult,small skiny guy,butch tall woman,vindictive,slapping and scratching,Slightly difficult,small and quiet,"beer or drugs, angry, fat ",bored and loveless,punching,Not at all difficult,"femine, weedy bloke",angry woman who works a corporate job,based around him doing what she wants,throwing things at him,Not at all difficult,Male,26,White,,Heterosexual or Straight
07.02.2024 16:53,07.02.2024 17:02,100,547,TRUE,07.02.2024 17:02,EN,I have read and understood the above statement. I choose to participate voluntarily.,"isolated
no self confidence
mental, physical and financial dependance 
romantic ","insecure
narcisistic
violent 
possesive 
agressive","toxic, dependant
isolated, no much external friends 
co-dependant, non-communicative ","violence that escalates to a pick which becomes the incident
the tip of the iceberg
daily small actions of violence that crystalise in a violent incident at some point",Slightly difficult,"insecure
dependant 
isolated 
no self-confidence","insecure
agressive 
narcisistic 
ego-centric 
posesive 
","toxic
c0-dependant
no external imputs like friends","violent incidents include screaming and breaking objects
tension is created not only by physical violence but through an environment of tension ",Moderately difficult,"isolated
insecure
dependant ","insecure
narcisistic 
possesive ","toxic
isolated
co-dependant 
","daily violance which escalates
tense environment 
",Moderately difficult,"insecure
isolated
dependant 
might have history of violence in their family","insecure
agresive
posesive 
might have history of violence in their family
narcisistic ","toxic
isolated 
tense
dependant 
violent communication habits ","tension which sometimes escalates into screams, breaking objects",Moderately difficult,Male,30,White,,Gay or Lesbian
07.02.2024 16:53,07.02.2024 17:02,100,532,TRUE,07.02.2024 17:02,EN,I have read and understood the above statement. I choose to participate voluntarily.,"Meek, bullied, controlled","Jealous, possessive
Justify their behaviour
Threaten to use the children against the victim
Aggressive and violent","Explosive arguments
Traditional roles","Very violent
Physical and sexual violence
Serious injuries",Not at all difficult,"Under the thumb
Emasculated
Feel pity for them","Vicious
Controlling and domineering
","Very controlled
Outwardly fine","Emotional blackmail
Hidden violence",Slightly difficult,"Meek
Controlled","Aggressive
Jealous",Kept out of public,Very violent,Difficult,"Meek
Controlled
Dependent","Butch
Aggressive
Controlling and jealous
Manipulative",Behind closed doors,"Bitchy
I think people wouldn't take it as seriously as male offender/female victim",Moderately difficult,Female,36,White,,Heterosexual or Straight
07.02.2024 16:55,07.02.2024 17:02,100,416,TRUE,07.02.2024 17:02,EN,I have read and understood the above statement. I choose to participate voluntarily.,"Scared
Weak","Bullish 
Threatening ","Rocky
Unsteady ","Physical abuse
Mental abuse",Moderately difficult,"Male 
Scared","Female
Intimidating ",Unsteady,"Abuse
Mental abuse",Difficult,"Weak
Scared ","Strong
Bullish ",Unsteady,"Abuse
",Difficult,"Scared
Afraid","Bullish 
Powerful ","Uneasy
Rough","Physical abuse
Mental abuse",Moderately difficult,Male,35,Black or African American,,Heterosexual or Straight
07.02.2024 16:53,07.02.2024 17:02,100,531,TRUE,07.02.2024 17:02,EN,I have read and understood the above statement. I choose to participate voluntarily.,"Wearing provocative clothing
Vulnerable
Alone
Scared","Strong
Intimidating
Alone
Manly","Male dominant
Female insubordination
Living together
Many fights ","Woman being hit, 
having stuff thrown at her, ",Slightly difficult,"Scared
Weak
Effeminate 
Doesn't want to admit what is happening","Strong character
Bully
Domineering ","One sided
Living together
Have children","Emotional abuse
Intimidation and threats",Difficult,"Effeminate 
Weak
Scared","Big built
Strong
Bully","One sided
Victim is scared of partner","Sexual violence
Physical abuse",Moderately difficult,"Weak
Scared
Easily led","Strong character
Butch
Argumentative ","One sided
Living together
","Emotional abuse
Coercion 
Intimidation",Difficult,Female,44,White,,Bisexual
07.02.2024 16:48,07.02.2024 17:02,100,881,TRUE,07.02.2024 17:02,EN,I have read and understood the above statement. I choose to participate voluntarily.,"Afraid to tell anyone about the abuse
Worried about her children
Unsecure","Agressive
Dangerous
Narcisist
Psychopat","Abusive relationship that can be pphysical, sexual, or emotional.","Hit the victim during a discussion

",Not at all difficult,"Afraid
Introvert
Mental Heatlh Issues",Make the victim think that was their fault about something that went wrong,"Cold
Violence","Verbal threats
Slap victim's face",Moderately difficult,"Extrovert
Gay","Racist
Psychopat",Abusive,"Verbal threats
Violence",Moderately difficult,"Happy person
Extrovert
","Jealous woman
Narcissist

","Discussions
",killed the victim during a discussion,Moderately difficult,Female,31,White,,Bisexual
07.02.2024 16:45,07.02.2024 17:02,100,1061,TRUE,07.02.2024 17:02,EN,I have read and understood the above statement. I choose to participate voluntarily.,"Innocent
In need of help
","Brutal
Aggressive
","Toxic
""Stockholm syndrome""
","Unfair
Punishment worthy ",Slightly difficult,"Weak
Not a real man","Strong
Inspiring","Just

","Justified
Deserved",Not at all difficult,"Weak
Subservient ","Aggressive
Brutal","Toxic
""As long as they both like it""
Not often commented on ","""As long as they both like it""

",Difficult,"Brutal
Tomboy","Innocent
","Toxic 
""As long as they both like it""","""As long as they both like it""
",Difficult,Male,38,Other,Mixed,Heterosexual or Straight
07.02.2024 16:55,07.02.2024 17:02,100,426,TRUE,07.02.2024 17:02,EN,I have read and understood the above statement. I choose to participate voluntarily.,Scared,Angry,Controlled,Volitile,Difficult,Small,Bossy,Controlled ,Controlled ,Difficult,"Very quiet, doesn't look in eye, jittery","Overbearing, loud, doesn't let victim speak, ",Very one sided. ,Controlling behaviour ,Difficult,"Quiet, under confident",Over confident. ,Controlled,Controlled,Difficult,Female,50,White,,Heterosexual or Straight
